	5% p-val	5% stats	95% p-val	95% stats	Median p-val	Median stats
CTCFL$MA1102.1|CTCFL$MA1102.2	2.7567993582916976	268415.89999999997	9.490472189624194	332846.7875	5.645661705184735	299525.5
CTCF$MA0139.1	2.464294570592539	510061.05	8.958679036817783	602510.1749999999	5.4174476811599215	555663.0
SPI1$MA0080.4|SPIC$MA0687.1	1.8600358763472649	234614.025	8.037180006932779	290099.38749999995	4.348280734868828	262023.375
SPIB$MA0081.1	1.2569571720338628	80276.25	6.828455944319883	106301.47499999999	3.7042874425156764	92316.25
